"","X.1","X","text","scores"
"67",67,67,"anandkamal Frankly i dont understand why narendramodi doesnt address Parlmnt on Demonetization Its his dutyampwil…",0
"68",68,68,"Aam aadmi punished for sins of blackmoney hoarders SBI slashesdeposit rates byDemonetization netascashin",0
"69",69,69,"Teacher is there anybody who is absent today
No response 
Teacher saysattendance 
Demonetization App survey
DonMufflerMan edUAUBDedUBUedUAUBDedUBUedUAUBDedUBUAedUAUBDedUBUAE",0
"70",70,70,"The queues are not getting longer but are getting shorter day by day Chanda KocharICIC MD and CEO demonetization",0
"71",71,71,"indianoilcl giving cash through Mini ATMs to people in Hinterland IndiaKaDil Helping rural people in Demonetization…",0
"72",72,72,"Watch briefing on Demonetization by DEA Secy DasShaktikanta this morning here",0
"73",73,73,"DeshhBhakt seems deskbhakt was in hibernation mode when GPS enabledrs was launched by Mododemonetization edUAUBDedUBUedUAUBDedUBUedUAUBDedUBUMonaAmbegaonkar",0
"74",74,74,"Looks Ambit Capital literally Choked with demonetization comeon U cant lower d GDP nos by huge margin
Perhaps they…",0
"75",75,75,"airtelindia takes a bite of the governemnt big demonetization pie becomes first paymentbank to go live",0
"76",76,76,"The opposition is getting troubled because all their BlackMoney have become just a piece of paper due to demonetization UCUUEUEUUUFUAUUDU",0
"77",77,77,"sritara GabbbarSingh sidin 
Please read alternative side of story also on Demonetization amp support to PM Modi",0
"78",78,78,"The effect of DeMonetization has already shared by narendramodiAction are more important than words…",0
"79",79,79,"Joined the line of Opposition MPs demonstrating solidarity on demonetization ampdemanding that PMOIndia address Parliame…",0
"80",80,80,"After much contemplation I have come to the conclusion that nothing explains Modis DeMonetization better than monumental stupidity",0
"81",81,81,"Days before Demonetization announcement ncbn sold his Heritage sharesclearly evident that he had prior knowledge of the…",0
"82",82,82,"In view ofcurrent situation RTGS timehas been extended uptoPM till th NovemberDemonetization",0
"83",83,83,"RT ZeeNewsSports Demonetization harbhajansingh gives hilarious shagun suggestion to those struggling with we…",0
"84",84,84,"Former FinSec RBI Dy Governor CBDT ChairHarvard Professor lambaste Demonetization

If not for Aam Aadmi listen to them no PM Modi",0
"85",85,85,"RT ZeeNewsSports Demonetization harbhajansingh gives hilarious shagun suggestion to those struggling with we…",0
"86",86,86,"How come those people crying for line in banks are not crying for line ups here in

demonetization",0
"87",87,87,"Demonetization harbhajansingh gives hilarious shagun suggestion to those struggling with wedding season…",0
"88",88,88,"Modis demonetization received massive public approval So why is opposition worried about common man and create ruckus i…",0
"89",89,89,"Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact on poortrade",0
"90",90,90,"Demonetization The Ultimate Weapon against Black economy",0
"91",91,91,"Monumental blunder or monumental plunder or both demonetization",0
"92",92,92,"And they say demonetization is failure",0
"93",93,93,"Modi acted against national interest The way to cashless economy need not be Demonetization A badly planned move",0
"94",94,94,"More thanFish Vendors across Kolkata have started using ewallets
Before demonetization this number was zeroThi…",0
"95",95,95,"When was the last time you saw Naveen Patnaik or Chandrababu Naidu being interviewed on BBC or NDTV on DeMonetization",0
"96",96,96,"A Housewifes view on demonetization",0
"97",97,97,"suryanavin MD ItzCashwas live on ET talking about the impact of Demonetization towards digitization in India",0
"98",98,98,"Difficult to verify but if true points to orchestrated campaign to discredit demonetization with paid fearmongers htt…",0
"99",99,99,"LampT is retrenchingemployees 
Hope none of the supporters of Demonetization are included",0
"100",100,100,"This is exactly how some people behaving on demonetization 

Since Modi Did it lets oppose it
If Sonia Gandhi have done i…",0
"101",101,101,"Today I delivered a speech on various issues including BlackMoney n demonetization at BJPKonnagar
narendramodi AmitShah s…",0
"102",102,102,"Economy and cost of Demonetization",0
"103",103,103,"NO MamtaOfficiaI will say this fire was caused because of DeMonetization and narendramodi is responsible",0
"104",104,104,"Most people are with you narendramodi on Demonetization
Pl run a poll on where citizens face most harassment in the…",0
"105",105,105,"Demonetizations Impact On the India Retail sectorReTales by Pankaj RenjhenET Retail",0
"106",106,106,"A World Economist is Rubbishing Demonetization in India and mind it he doesnt have to score Brownie Points in Indian Politi…",0
"107",107,107,"YRDeshmukh Yes We should always rely on private psephologistsagenciesAlways reliablerealDonaldTrump can vouch for itdemonetization",0
"108",108,108,"Demonetization is the nd word trending after Intolerance Thanks Pappu Kejri Mamta VishalJanSabha KhulkeDulke Ind…",0
"109",109,109,"Today I sawblack money hoarders out ofcrore
standing in ques outside Parliament against
Demonetization",0
"110",110,110,"day namovolunteers had meeting with malviyamit ji over demonetization decidedexpose opposition by
UUEUUUAUBUUE…",0
"111",111,111,"Exceptional response by the people in support of Demonetization",0
"112",112,112,"Even if yourewhite money amp even if youre unaffected this demonetization move has given a lot of folks a reason to pa…",0
"113",113,113,"MrDustobin of TMC to release Mamta App world wideto look after demonetization support

quizderek Goldenthrust",0
"114",114,114,"Demonetization Now affecting even the dumb rich who now have to use public transport",0
"115",115,115,"Cousin firedstaff today with a promiserehire inmonthsSays no new ordersno cash to pay them Heartbreaking

Demonetization",0
"116",116,116,"I thought only black money holder wud hate demonetization
No there r many we cal them by many names like C l etc etc
demonetization",0
"117",117,117,"surajagarwal more bhakt abuse more Modi reduce demonetization open pandora box everyone knows Modi has no brain everything go in drain",0
"118",118,118,"How can a PM who cant even control his emotions control an entire nation Demonetization NotADefaulter PMModi NotProCongress edUAUBEedUBUedUAUBDedUBU",0
"119",119,119,"No issues with demonetization my maids son exchanged money in justmins that too when she doesnt have a son and I…",0
"120",120,120,"RajanAnandan would be interesting to look at this research again in light of demonetization A real blackswan…",0
"121",121,121,"Demonetization Is Disasternaampk",0
"122",122,122,"Things are very fast getting back to normal No long queues in Bhopal banks and ATMs anymore
DeMonetization",0
"123",123,123,"ArvindKejriwal AamAadmiParty how you guys reachedlakh ghotala in Demonetization process Pls explain the number TimesNow",0
"124",124,124,"World is full of smart people
demonetization",0
"125",125,125,"Demonetization has long term benefits Pain now is temporary Let us help nation to make India corruption free",0
"126",126,126,"Wow Demonetization Survey ResponseLakh citizens in little overhrs
Participate now",0
